,Event,Time,Temperature,Time_subseconds,Date,Time_round,Time_in_seconds
0,PUFF_ON,12:21:05.793,0,44465.793808,2024-06-07,12:21:06,44466
1,PUFF_OFF,12:21:05.793,0,44465.793808,2024-06-07,12:21:06,44466
2,TEMPERATURE_ON,12:21:05.793,1002,44465.793808,2024-06-07,12:21:06,44466
3,TEMPERATURE_OFF,12:21:05.793,1008,44465.793808,2024-06-07,12:21:06,44466
4,PUFF_ON,12:21:43.523,0,44503.523941,2024-06-07,12:21:44,44504
5,PUFF_OFF,12:21:43.523,0,44503.523941,2024-06-07,12:21:44,44504
6,TEMPERATURE_ON,12:21:43.523,1002,44503.523941,2024-06-07,12:21:44,44504
7,TEMPERATURE_OFF,12:21:43.523,1008,44503.523941,2024-06-07,12:21:44,44504
8,TOUCH_ON,12:21:49.162,0,44509.162888,2024-06-07,12:21:49,44509
9,TOUCH_OFF,12:21:49.415,0,44509.415146,2024-06-07,12:21:49,44509
10,TEMPERATURE_ON,12:21:49.162,1002,44509.162888,2024-06-07,12:21:49,44509
11,TEMPERATURE_OFF,12:21:49.415,1008,44509.415146,2024-06-07,12:21:49,44509
12,TOUCH_ON,12:21:49.667,0,44509.667236,2024-06-07,12:21:50,44510
13,TOUCH_OFF,12:21:50.125,0,44510.125,2024-06-07,12:21:50,44510
14,TEMPERATURE_ON,12:21:49.667,1002,44509.667236,2024-06-07,12:21:50,44510
15,TEMPERATURE_OFF,12:21:50.125,1008,44510.125,2024-06-07,12:21:50,44510
16,PUFF_ON,12:22:02.141,0,44522.141541,2024-06-07,12:22:02,44522
17,PUFF_OFF,12:22:02.149,0,44522.149033,2024-06-07,12:22:02,44522
18,TEMPERATURE_ON,12:22:02.141,1003,44522.141541,2024-06-07,12:22:02,44522
19,TEMPERATURE_OFF,12:22:02.149,1009,44522.149033,2024-06-07,12:22:02,44522
20,PUFF_ON,12:23:26.799,0,44606.799454,2024-06-07,12:23:27,44607
21,PUFF_OFF,12:23:26.799,0,44606.799454,2024-06-07,12:23:27,44607
22,TEMPERATURE_ON,12:23:26.799,999,44606.799454,2024-06-07,12:23:27,44607
23,TEMPERATURE_OFF,12:23:26.799,1009,44606.799454,2024-06-07,12:23:27,44607
24,PUFF_ON,12:23:28.022,0,44608.022507,2024-06-07,12:23:28,44608
25,PUFF_OFF,12:23:28.029,0,44608.029007,2024-06-07,12:23:28,44608
26,TEMPERATURE_ON,12:23:28.022,1008,44608.022507,2024-06-07,12:23:28,44608
27,TEMPERATURE_OFF,12:23:28.029,1009,44608.029007,2024-06-07,12:23:28,44608
28,PUFF_ON,12:23:29.186,0,44609.186234,2024-06-07,12:23:29,44609
29,PUFF_OFF,12:23:29.187,0,44609.187012,2024-06-07,12:23:29,44609
30,TEMPERATURE_ON,12:23:29.186,1009,44609.186234,2024-06-07,12:23:29,44609
31,TEMPERATURE_OFF,12:23:29.187,1009,44609.187012,2024-06-07,12:23:29,44609
32,PUFF_ON,12:24:44.637,0,44684.637726,2024-06-07,12:24:45,44685
33,PUFF_OFF,12:24:44.652,0,44684.652695,2024-06-07,12:24:45,44685
34,TEMPERATURE_ON,12:24:44.637,1003,44684.637726,2024-06-07,12:24:45,44685
35,TEMPERATURE_OFF,12:24:44.652,1008,44684.652695,2024-06-07,12:24:45,44685
36,PUFF_ON,12:33:45.903,0,45225.903564,2024-06-07,12:33:46,45226
37,PUFF_OFF,12:33:45.903,0,45225.903564,2024-06-07,12:33:46,45226
38,TEMPERATURE_ON,12:33:45.903,1002,45225.903564,2024-06-07,12:33:46,45226
39,TEMPERATURE_OFF,12:33:45.903,1008,45225.903564,2024-06-07,12:33:46,45226
40,PUFF_ON,16:58:04.804,0,61084.804138,2024-06-08,16:58:05,61085
41,PUFF_OFF,16:58:05.916,0,61085.916,2024-06-08,16:58:06,61086
42,TEMPERATURE_ON,16:58:04.804,1002,61084.804138,2024-06-08,16:58:05,61085
43,TEMPERATURE_OFF,16:58:05.916,1009,61085.916,2024-06-08,16:58:06,61086
44,TOUCH_ON,16:58:01.802,0,61081.802963,2024-06-08,16:58:02,61082
45,TOUCH_OFF,16:58:07.932,0,61087.932419,2024-06-08,16:58:08,61088
46,TEMPERATURE_ON,16:58:01.802,1002,61081.802963,2024-06-08,16:58:02,61082
47,TEMPERATURE_OFF,16:58:07.932,1009,61087.932419,2024-06-08,16:58:08,61088
48,PUFF_ON,16:58:08.914,0,61088.914398,2024-06-08,16:58:09,61089
49,PUFF_OFF,16:58:09.758,0,61089.758606,2024-06-08,16:58:10,61090
50,TEMPERATURE_ON,16:58:08.914,1005,61088.914398,2024-06-08,16:58:09,61089
51,TEMPERATURE_OFF,16:58:09.758,1009,61089.758606,2024-06-08,16:58:10,61090
52,TOUCH_ON,16:58:11.883,0,61091.883377,2024-06-08,16:58:12,61092
53,TOUCH_OFF,16:58:12.382,0,61092.382111,2024-06-08,16:58:12,61092
54,TEMPERATURE_ON,16:58:11.883,1005,61091.883377,2024-06-08,16:58:12,61092
55,TEMPERATURE_OFF,16:58:12.382,1009,61092.382111,2024-06-08,16:58:12,61092
56,TOUCH_ON,16:58:12.674,0,61092.674835,2024-06-08,16:58:13,61093
57,TOUCH_OFF,16:58:19.390,0,61099.390228,2024-06-08,16:58:19,61099
58,TEMPERATURE_ON,16:58:12.674,1005,61092.674835,2024-06-08,16:58:13,61093
59,TEMPERATURE_OFF,16:58:19.390,1009,61099.390228,2024-06-08,16:58:19,61099
60,PUFF_ON,16:58:22.673,0,61102.67305,2024-06-08,16:58:23,61103
61,PUFF_OFF,16:58:23.784,0,61103.784882,2024-06-08,16:58:24,61104
62,TEMPERATURE_ON,16:58:22.673,999,61102.67305,2024-06-08,16:58:23,61103
63,TEMPERATURE_OFF,16:58:23.784,1006,61103.784882,2024-06-08,16:58:24,61104
64,TOUCH_ON,16:58:27.655,0,61107.655823,2024-06-08,16:58:28,61108
65,TOUCH_OFF,16:58:28.153,0,61108.153732,2024-06-08,16:58:28,61108
66,TEMPERATURE_ON,16:58:27.655,999,61107.655823,2024-06-08,16:58:28,61108
67,TEMPERATURE_OFF,16:58:28.153,1006,61108.153732,2024-06-08,16:58:28,61108
68,TOUCH_ON,16:58:28.302,0,61108.302719,2024-06-08,16:58:28,61108
69,TOUCH_OFF,16:58:30.418,0,61110.418915,2024-06-08,16:58:30,61110
70,TEMPERATURE_ON,16:58:28.302,999,61108.302719,2024-06-08,16:58:28,61108
71,TEMPERATURE_OFF,16:58:30.418,1006,61110.418915,2024-06-08,16:58:30,61110
72,TOUCH_ON,16:58:32.683,0,61112.683182,2024-06-08,16:58:33,61113
73,TOUCH_OFF,16:58:32.935,0,61112.935486,2024-06-08,16:58:33,61113
74,TEMPERATURE_ON,16:58:32.683,999,61112.683182,2024-06-08,16:58:33,61113
75,TEMPERATURE_OFF,16:58:32.935,1006,61112.935486,2024-06-08,16:58:33,61113
76,TOUCH_ON,16:58:33.250,0,61113.250381,2024-06-08,16:58:33,61113
77,TOUCH_OFF,16:58:34.525,0,61114.52504,2024-06-08,16:58:35,61115
78,TEMPERATURE_ON,16:58:33.250,999,61113.250381,2024-06-08,16:58:33,61113
79,TEMPERATURE_OFF,16:58:34.525,1006,61114.52504,2024-06-08,16:58:35,61115
80,PUFF_ON,16:58:37.431,0,61117.431854,2024-06-08,16:58:37,61117
81,PUFF_OFF,16:58:37.433,0,61117.433258,2024-06-08,16:58:37,61117
82,TEMPERATURE_ON,16:58:37.431,1001,61117.431854,2024-06-08,16:58:37,61117
83,TEMPERATURE_OFF,16:58:37.433,1008,61117.433258,2024-06-08,16:58:37,61117
84,PUFF_ON,16:58:43.043,0,61123.043839,2024-06-08,16:58:43,61123
85,PUFF_OFF,16:58:44.172,0,61124.172455,2024-06-08,16:58:44,61124
86,TEMPERATURE_ON,16:58:43.043,1002,61123.043839,2024-06-08,16:58:43,61123
87,TEMPERATURE_OFF,16:58:44.172,1009,61124.172455,2024-06-08,16:58:44,61124
88,TOUCH_ON,16:58:34.674,0,61114.674179,2024-06-08,16:58:35,61115
89,TOUCH_OFF,16:58:46.125,0,61126.125809,2024-06-08,16:58:46,61126
90,TEMPERATURE_ON,16:58:34.674,1002,61114.674179,2024-06-08,16:58:35,61115
91,TEMPERATURE_OFF,16:58:46.125,1009,61126.125809,2024-06-08,16:58:46,61126
92,TOUCH_ON,16:58:46.378,0,61126.378021,2024-06-08,16:58:46,61126
93,TOUCH_OFF,16:58:49.264,0,61129.26442,2024-06-08,16:58:49,61129
94,TEMPERATURE_ON,16:58:46.378,1002,61126.378021,2024-06-08,16:58:46,61126
95,TEMPERATURE_OFF,16:58:49.264,1009,61129.26442,2024-06-08,16:58:49,61129
96,TOUCH_ON,16:58:49.557,0,61129.557114,2024-06-08,16:58:50,61130
97,TOUCH_OFF,16:58:49.666,0,61129.666092,2024-06-08,16:58:50,61130
98,TEMPERATURE_ON,16:58:49.557,1002,61129.557114,2024-06-08,16:58:50,61130
99,TEMPERATURE_OFF,16:58:49.666,1009,61129.666092,2024-06-08,16:58:50,61130
100,PUFF_ON,16:58:51.395,0,61131.39502,2024-06-08,16:58:51,61131
101,PUFF_OFF,16:58:51.395,0,61131.39502,2024-06-08,16:58:51,61131
102,TEMPERATURE_ON,16:58:51.395,1002,61131.39502,2024-06-08,16:58:51,61131
103,TEMPERATURE_OFF,16:58:51.395,1009,61131.39502,2024-06-08,16:58:51,61131
104,TOUCH_ON,16:58:50.308,0,61130.308228,2024-06-08,16:58:50,61130
105,TOUCH_OFF,16:58:53.404,0,61133.404175,2024-06-08,16:58:53,61133
106,TEMPERATURE_ON,16:58:50.308,1002,61130.308228,2024-06-08,16:58:50,61130
107,TEMPERATURE_OFF,16:58:53.404,1009,61133.404175,2024-06-08,16:58:53,61133
108,PUFF_ON,17:42:21.795,0,63741.79567,2024-06-08,17:42:22,63742
109,PUFF_OFF,17:42:23.132,0,63743.132828,2024-06-08,17:42:23,63743
110,TEMPERATURE_ON,17:42:21.795,1001,63741.79567,2024-06-08,17:42:22,63742
111,TEMPERATURE_OFF,17:42:23.132,1009,63743.132828,2024-06-08,17:42:23,63743
112,PUFF_ON,17:42:33.061,0,63753.061874,2024-06-08,17:42:33,63753
113,PUFF_OFF,17:42:34.557,0,63754.557953,2024-06-08,17:42:35,63755
114,TEMPERATURE_ON,17:42:33.061,1001,63753.061874,2024-06-08,17:42:33,63753
115,TEMPERATURE_OFF,17:42:34.557,1009,63754.557953,2024-06-08,17:42:35,63755
116,PUFF_ON,17:43:08.379,0,63788.379501,2024-06-08,17:43:08,63788
117,PUFF_OFF,17:43:09.420,0,63789.420166,2024-06-08,17:43:09,63789
118,TEMPERATURE_ON,17:43:08.379,1001,63788.379501,2024-06-08,17:43:08,63788
119,TEMPERATURE_OFF,17:43:09.420,1009,63789.420166,2024-06-08,17:43:09,63789
120,TOUCH_ON,17:43:14.664,0,63794.664795,2024-06-08,17:43:15,63795
121,TOUCH_OFF,17:43:16.292,0,63796.292831,2024-06-08,17:43:16,63796
122,TEMPERATURE_ON,17:43:14.664,1001,63794.664795,2024-06-08,17:43:15,63795
123,TEMPERATURE_OFF,17:43:16.292,1009,63796.292831,2024-06-08,17:43:16,63796
124,TOUCH_ON,17:45:03.667,0,63903.667526,2024-06-08,17:45:04,63904
