Event,Time,Date
TOUCH_ON,15:39:29.025085,2024-10-08
TOUCH_OFF,15:39:35.645584,2024-10-08
TOUCH_ON,15:39:36.054306,2024-10-08
TOUCH_OFF,15:39:36.167221,2024-10-08
TOUCH_ON,15:39:36.428085,2024-10-08
TOUCH_OFF,15:39:39.030182,2024-10-08
TOUCH_ON,15:40:13.908051,2024-10-08
TOUCH_OFF,15:40:15.43161,2024-10-08
TOUCH_ON,15:40:15.544083,2024-10-08
TOUCH_OFF,15:40:16.521561,2024-10-08
TOUCH_ON,15:40:16.782425,2024-10-08
TOUCH_OFF,15:40:17.000336,2024-10-08
TOUCH_ON,15:40:17.155731,2024-10-08
TOUCH_OFF,15:40:19.506882,2024-10-08
TOUCH_ON,15:41:16.021469,2024-10-08
TOUCH_OFF,15:41:16.134384,2024-10-08
TOUCH_ON,15:47:26.008072,2024-10-08
TOUCH_OFF,15:47:26.268448,2024-10-08
TOUCH_ON,15:47:26.422485,2024-10-08
TOUCH_OFF,15:47:27.28981,2024-10-08
TOUCH_ON,15:47:27.547852,2024-10-08
TOUCH_OFF,15:47:27.806641,2024-10-08
TOUCH_ON,15:47:28.1297,2024-10-08
TOUCH_OFF,15:47:28.389633,2024-10-08
PUFF_ON,15:47:29.05307,2024-10-08
PUFF_OFF,15:47:33.03772,2024-10-08
TOUCH_ON,15:47:28.545029,2024-10-08
TOUCH_OFF,15:47:33.130768,2024-10-08
TOUCH_ON,15:47:34.769089,2024-10-08
TOUCH_OFF,15:47:35.428619,2024-10-08
TOUCH_ON,15:48:47.676758,2024-10-08
TOUCH_OFF,15:48:52.883347,2024-10-08
TOUCH_ON,15:48:53.512268,2024-10-08
TOUCH_OFF,15:48:54.918396,2024-10-08
TOUCH_ON,15:49:18.432098,2024-10-08
TOUCH_OFF,15:49:18.649429,2024-10-08
TOUCH_ON,15:49:18.759964,2024-10-08
TOUCH_OFF,15:49:19.270233,2024-10-08
TOUCH_ON,15:49:19.382278,2024-10-08
TOUCH_OFF,15:49:23.551498,2024-10-08
PUFF_ON,15:49:19.882462,2024-10-08
PUFF_OFF,15:49:23.514862,2024-10-08
TOUCH_ON,15:49:23.810349,2024-10-08
TOUCH_OFF,15:49:24.280136,2024-10-08
TOUCH_ON,15:49:24.391663,2024-10-08
TOUCH_OFF,15:49:26.40126,2024-10-08
TOUCH_ON,16:11:8.018555,2024-10-08
TOUCH_OFF,16:11:8.89061,2024-10-08
TOUCH_ON,16:11:9.299545,2024-10-08
TOUCH_OFF,16:11:9.517563,2024-10-08
TOUCH_ON,16:11:10.135895,2024-10-08
TOUCH_OFF,16:11:11.896988,2024-10-08
TOUCH_ON,16:12:51.406097,2024-10-08
TOUCH_OFF,16:12:51.51889,2024-10-08
TOUCH_ON,16:12:51.884949,2024-10-08
TOUCH_OFF,16:12:52.542267,2024-10-08
TOUCH_ON,16:14:22.422165,2024-10-08
TOUCH_OFF,16:14:22.892334,2024-10-08
TOUCH_ON,16:14:26.15419,2024-10-08
TOUCH_OFF,16:14:26.878479,2024-10-08
TOUCH_ON,16:15:26.380341,2024-10-08
TOUCH_OFF,16:15:26.933228,2024-10-08
TOUCH_ON,16:15:29.287308,2024-10-08
TOUCH_OFF,16:15:34.529724,2024-10-08
TOUCH_ON,16:15:35.253052,2024-10-08
TOUCH_OFF,16:15:35.762619,2024-10-08
TOUCH_ON,16:15:36.022583,2024-10-08
TOUCH_OFF,16:15:46.129974,2024-10-08
TOUCH_ON,16:17:41.652969,2024-10-08
TOUCH_OFF,16:17:41.808762,2024-10-08
TOUCH_ON,16:17:41.921036,2024-10-08
TOUCH_OFF,16:17:42.034088,2024-10-08
TOUCH_ON,16:17:42.146347,2024-10-08
TOUCH_OFF,16:17:42.40683,2024-10-08
TOUCH_ON,16:17:42.665527,2024-10-08
TOUCH_OFF,16:17:47.183228,2024-10-08
TOUCH_ON,16:17:47.54866,2024-10-08
TOUCH_OFF,16:17:47.766479,2024-10-08
TOUCH_ON,16:17:47.891693,2024-10-08
TOUCH_OFF,16:17:47.929596,2024-10-08
TOUCH_ON,16:17:48.250809,2024-10-08
TOUCH_OFF,16:17:57.259628,2024-10-08
TOUCH_ON,16:17:59.76535,2024-10-08
TOUCH_OFF,16:18:17.030396,2024-10-08
TOUCH_ON,16:18:21.016541,2024-10-08
TOUCH_OFF,16:18:21.129669,2024-10-08
